"Y_date","Y_pred","Y_true","ret_1w_DXY","ret_1w_FF_HML","ret_1w_FF_Rm_Rf","ret_1w_FF_SMB","ret_1w_Gld","ret_1w_Oil","ret_1w_tgt","ret_2q_DXY","ret_2q_Oil","ret_2q_tgt","sprd_2y10y","sprd_2y5y","vol_DXY","vol_Oil","vol_tgt"
"22/4/1994",0.0209159720689058,0,0.0718729468383182,0.0609691352604744,0.0466819798291517,0.00285207749857921,0.140367017370434,0.07288112177264,0.0714731085927482,0.127553516211651,0.0301603620192362,0.0389247096132341,0.0236051672880743,NA,0.167177891523958,0.0696672459579052,0.0758137202235959
"29/4/1994",0.00482356501743197,0,0.0534697370153915,0.0538109218745895,0.0620823461074106,0.004089361840246,0.144128552007923,0.0612670268686702,0.0622598921981205,0.100216745737536,0.022425952899821,0.0355663796136369,0.0438288916332659,0.0105629685793046,0.171961619857857,0.0821877504993379,0.09214185326689
"6/5/1994",0.0349917858839035,0,0.0359596240696242,0.0586367639642125,0.0736768603227173,0.000174587503834449,0.172493539801455,0.0629665934134596,0.0568234616805308,0.089051620418322,0.0427804884099349,0.0423004481877509,0.0360565590173896,NA,0.168995362742353,0.0824886385421989,0.0775954519262167
"13/5/1994",0.0133966617286205,0,0.0525403054648997,0.0621685639132318,0.057602702170185,NA,0.157917101437421,0.0596982078145313,0.0694711266088812,0.0960879730565908,0.0530849022475148,0.0420487569552967,0.0339514769589027,NA,0.162623832183543,0.0700170588169825,0.0827879923720191
"20/5/1994",0.00641193054616451,0,0.0533277116813797,0.0782768254067121,0.0477259833470939,0.000246096639757192,0.159270449895267,0.0612443585220162,0.072926188510832,0.0925919660694125,0.0219905439542639,0.0496702142014938,0.0233712427027847,0.00146639441315561,0.172328756296225,0.084867396107208,0.080695872252399
"27/5/1994",0.0121502028778195,0,0.0522048115937807,0.0367480964879261,0.0625709966995124,NA,0.148804198051235,0.0810710174968047,0.0727933436341588,0.0975684048558815,0.025899876954838,0.044009409923149,0.0217112461108082,0.0156256064624531,0.188082955362396,0.0752111348439813,0.0776989015230751
"3/6/1994",0.00649803597480059,0,0.0401497161075935,0.0511103266336979,0.0720993962331855,NA,0.138640221561198,0.074087406062859,0.081439199664346,0.0921306092696641,0.0493839955687511,0.0396747488113218,0.028595812214534,0.00267058451116452,0.182057793213784,0.0708221325625784,0.0771380575853223
"10/6/1994",0.00476065743714571,0,0.0358565247166628,0.0497539757803892,0.0478105670786442,NA,0.145220302872194,0.073221206790949,0.0775446931293665,0.0902680380186382,0.0586964433171335,0.0449445008593315,0.0325391246789604,0.00263814842918467,0.189513913610577,0.078327126594824,0.0736654341231447
"17/6/1994",0.0187384411692619,0,0.0358750056524534,0.0499103658445638,0.0478628400590264,NA,0.145327672260401,0.0731398674753076,0.0775885943860097,0.0894181131373937,0.0582982275006042,0.0450558729724696,0.0325233545284856,0.00265317501428568,0.189780678751305,0.0784184804209455,0.0741477519967494
"24/6/1994",0.00250756391324103,0,0.0358372160924622,0.0505358971961525,0.0689363698922844,NA,0.14543043641975,0.0729780122534893,0.068696219937609,0.0890560699179169,0.0584598062089231,0.0450759755288943,0.0257977757498616,0.00265038832092351,0.18394882792526,0.0783486581132291,0.0742483464432442
"1/7/1994",0.00262621906585991,0,0.0358364632754931,0.0504079228656328,0.0689754853626996,NA,0.145565401371372,0.0730171653938564,0.0686999624170239,0.08899524111952,0.058453955035654,0.0451592461801495,0.0257837063344429,0.00264975516367764,0.183834714173589,0.0783430205241055,0.074277960782784
"8/7/1994",0.0023358603939414,0,0.035824248359434,0.0569884197854846,0.0625318353721328,NA,0.145582802751091,0.0730203785620578,0.0686820236605113,0.0897072060043702,0.0584295984163827,0.0449647373566244,0.0257615245638555,0.00264828032485465,0.183262333678454,0.0783128392291312,0.0742837719356158
"15/7/1994",0.0244757328182459,0,0.0476474828190643,0.0494057692754719,0.0669933093687852,0.00644935594917758,0.140539928162882,0.0710102294302131,0.0745366195498398,0.121728713516892,0.025656856077367,0.0433910620397116,0.0216080528515542,0.0150670932412509,0.176692481359159,0.0722653104079222,0.0670077359507089
"22/7/1994",0.0621905140578747,0,0.0476427023664839,0.0493886932051622,0.0669780188590917,0.00644593356237354,0.140580348276902,0.0710240950540164,0.0745244202925907,0.121676125424866,0.0256568997409511,0.0434006491531974,0.0215939375992343,0.015059367615514,0.176716057194795,0.0722599675443165,0.0670527841105055
"29/7/1994",0.00270883250050247,0,0.0476474255844229,0.0490931796010209,0.0696481140683563,0.00644481271777447,0.140707739184548,0.0684712258121208,0.0745196230792265,0.121622837471463,0.0256593859658448,0.0433947933177333,0.0215804795341809,0.0150526928483629,0.176784772753323,0.0722619146316871,0.0671110034299347
"5/8/1994",0.0169756077229977,0,0.0476425875406603,0.0490761994654885,0.0696368221369852,0.00644140716183119,0.140747696363225,0.0684816862093154,0.0745071723605563,0.121570677489083,0.0256593885476656,0.0434043236278926,0.0215664593118164,0.0150450090685809,0.176808168896836,0.0722566188765393,0.0671557829435245
"12/8/1994",0.0052857669070363,0,0.0524162659557364,0.0490058122007135,0.0581424774311514,NA,0.149876047974443,0.0689554966123115,0.0744110146866861,0.118391420307249,0.0256235429546723,0.0435667718458002,0.0214340253089155,0.0151822965073571,0.173736491356687,0.0721366618496306,0.0771216750086459
