,y_dates,y_pred,
422,25/3/2011,0.106008396,
423,1/4/2011,0.095616817,
424,8/4/2011,0.095161498,
425,15/4/2011,0.095001906,
426,22/4/2011,0.113874555,
427,29/4/2011,0.107313454,
428,6/5/2011,0.138143539,
429,13/5/2011,0.127100199,
430,20/5/2011,0.111929603,
431,27/5/2011,0.111696221,
432,3/6/2011,0.144137442,
433,10/6/2011,0.111488476,
434,17/6/2011,0.143547297,
435,24/6/2011,0.143399343,
436,1/7/2011,0.142966434,
437,8/7/2011,0.142821282,
438,15/7/2011,0.094924644,
439,22/7/2011,0.110394187,
440,29/7/2011,0.094669133,
441,5/8/2011,0.126205802,
442,12/8/2011,0.109971657,
443,19/8/2011,0.094264649,
444,26/8/2011,0.10961993,
445,2/9/2011,0.093998164,
446,9/9/2011,0.093870111,
447,16/9/2011,0.109142095,
448,23/9/2011,0.127384186,
449,30/9/2011,0.098439716,
450,7/10/2011,0.127285615,
451,14/10/2011,0.098266385,
452,21/10/2011,0.098217197,
453,28/10/2011,0.13599126,
454,4/11/2011,0.062835112,
455,11/11/2011,0.125328541,
456,18/11/2011,0.079626091,
457,25/11/2011,0.062957093,
458,2/12/2011,0.0629493,
459,9/12/2011,0.062945448,
460,16/12/2011,0.062941611,
461,23/12/2011,0.062933847,
462,30/12/2011,0.062926114,
463,6/1/2012,0.06291838,
464,13/1/2012,0.062910676,
465,20/1/2012,0.062903009,
466,27/1/2012,0.062895335,
467,3/2/2012,0.062887691,
468,10/2/2012,0.062880047,
469,17/2/2012,0.062872432,
470,24/2/2012,0.062864818,
471,2/3/2012,0.062857233,
472,9/3/2012,0.062849663,
473,16/3/2012,0.062842093,
474,23/3/2012,0.109959133,
475,30/3/2012,0.062827043,
476,6/4/2012,0.062819548,
477,13/4/2012,0.062812053,
478,20/4/2012,0.062808134,
479,27/4/2012,0.062800676,
480,4/5/2012,0.062793218,
481,11/5/2012,0.062785789,
482,18/5/2012,0.062778361,
483,25/5/2012,0.062770955,
484,1/6/2012,0.062763564,
485,8/6/2012,0.062756203,
486,15/6/2012,0.062748827,
487,22/6/2012,0.062741511,
488,29/6/2012,0.062734149,
489,6/7/2012,0.062726863,
490,13/7/2012,0.062719546,
491,20/7/2012,0.062712267,
492,27/7/2012,0.062704995,
493,3/8/2012,0.062697738,
494,10/8/2012,0.062690526,
495,17/8/2012,0.062683292,
496,24/8/2012,0.062676094,
497,31/8/2012,0.062668912,
498,7/9/2012,0.062661715,
499,14/9/2012,0.06265457,
500,21/9/2012,0.062647417,
501,28/9/2012,0.06264028,
502,5/10/2012,0.062633164,
503,12/10/2012,0.062626056,
504,19/10/2012,0.062618986,
505,26/10/2012,0.062611908,
506,2/11/2012,0.062604852,
507,9/11/2012,0.062597804,
508,16/11/2012,0.062590763,
509,23/11/2012,0.062583759,
510,30/11/2012,0.062576748,
511,7/12/2012,0.062569767,
512,14/12/2012,0.062562793,
513,21/12/2012,0.062555842,
514,28/12/2012,0.062548883,
515,4/1/2013,0.062541962,
516,11/1/2013,0.06253504,
517,18/1/2013,0.062528156,
518,25/1/2013,0.062521249,
519,1/2/2013,0.062514357,
520,8/2/2013,0.062507518,
521,15/2/2013,0.062500671,
