,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
MLPG,-0.016658666,-0.000674709,-0.010430901,-0.02368372,-0.012621282,0.027746382,-0.011006231,0.002449065,0.003625766,0.033945669,-0.028231667,-0.024715726,-0.009076653,0.003006513,-0.029212919,-0.01662395,-0.009957407,-0.028476282,-0.019911746,-0.062890322
MLPI,-0.016227272,0.002959693,-0.013033202,-0.018942815,-0.006912337,0.03344818,0.000176161,0.003495249,0.001120512,0.026301615,-0.014497132,-0.024074039,-0.004946428,-0.009077575,-0.028713048,-0.025527001,0.004849277,-0.049526115,-0.015124025,-0.049383698
MNA,-0.006298218,0.000564306,0.004758134,0.001451018,0.004309922,0.018644082,0.009001646,-0.004681602,0.00328142,-0.002285483,-0.011836564,0.015386343,-0.011074039,3.45912E-05,-0.009730131,0.000607974,0.006470804,0.001035002,-0.006200855,0.007905591
MOO,-0.035344772,-0.010141193,0.002070321,0.002620383,-0.002478421,0.009257597,-0.01336499,0.060387792,0.015761595,-0.018669139,-0.006944617,-0.017674552,0.000342715,-0.016269305,-0.017128287,-0.027430477,0.008490724,-0.001662784,0.016692216,-0.004816362
MTK,-0.034767953,0.021400842,-0.007415118,0.02674967,0.029980283,0.014969129,-0.020107615,0.028225304,-0.048321823,0.011764464,0.022760917,-0.011063862,0.006844342,-0.017581182,0.009927943,-0.0143415,-0.00399966,0.019944532,0.004435218,0.002092332
MUB,0.001473962,-0.002291721,0.010668827,-0.031757117,0.009543773,0.013948331,-0.007953772,0.008014048,-0.005339807,0.005369447,-0.003700822,0.007807341,0.002167016,-0.010063707,-0.009270048,0.025100719,0.004750849,0.010049254,-0.010621131,-0.02596618
MUNI,0.001292978,-0.00447569,0.007911309,-0.016759766,0.004972325,0.00830306,-0.00325116,0.003246458,-0.002184193,-0.001433766,-0.003822608,-0.002539403,-0.001697931,0.000591193,0.002464028,0.013367029,0.006567907,0.008532476,0.002628856,-0.009853768
MVV,-0.070256196,0.040404928,-0.026234085,-0.021273256,0.026768978,0.037355363,-0.015502635,-0.013938515,0.034920228,-0.006154657,-0.001899537,0.004349872,0.005212934,-0.001333645,-0.001808913,-0.024531971,-0.001659467,-0.009964264,-0.002936821,-0.008822161
MXI,-0.043470912,-0.02687659,0.005310908,0.015835833,0.01404869,-0.015186815,0.018760551,0.008458138,-0.009191897,-0.02060318,-0.019235722,-0.016930735,0.016528969,0.009926316,-0.026421908,-0.039532564,0.024417688,-0.013663077,0.015532544,0.021768863
MYY,0.035437668,-0.019164423,0.012655287,0.012482153,-0.014848195,-0.020612059,0.006298963,0.007533704,-0.015420674,0.002211549,-0.001741152,-0.003951605,0.007107219,0.01271488,0.007973832,0.019646852,-0.001099232,0.013589548,0.003267971,-0.004891077
MZZ,0.070593848,-0.037537953,0.02658771,0.027606068,-0.028314303,-0.048065034,0.007590825,0.013379036,-0.033610663,0.007851906,-0.000801256,-0.001542407,0.018001158,0.035626384,0.019909297,0.045166572,-0.003686451,0.029519562,0.008111869,-0.014962375
NFO,-0.038084355,0.021213934,-0.015485837,-0.007213842,0.017062933,0.0164547,-0.00384909,3.0447E-05,0.016773925,0.005364017,-0.005106178,-0.008022529,0.013311936,0.015516663,0.001891151,-0.000758724,0.004968299,-0.009394022,-0.006331686,-0.0043032
NIB,-0.017209788,-0.034618609,0.005155567,-0.038933828,-0.032158094,-0.009025048,0.02904066,0.019300582,-0.042235335,-0.03635775,0.011712282,0.1263091,0.000722028,0.043152069,0.113136407,-0.001865006,-0.006779193,-0.052940045,0.155887482,-0.110050401
NLR,-0.03695746,-0.003730435,0.001251593,0.012361453,0.027261143,-0.019278924,0.005892604,0.011601907,-0.021560491,-0.003917386,-0.01552752,-0.004973902,0.002136925,0.023775268,0.023499738,-0.01651527,0.008637538,-0.031264756,0.011042171,-0.070925093
NYF,0.000466747,-0.002664169,0.006043758,-0.015080592,0.006176829,0.010301547,-0.010566196,0.003961072,-0.004631437,-0.003631999,-0.015503898,-0.000399246,0.005083028,0.006053424,-0.007463535,0.00440166,0.000157541,0.011171704,0.002774481,-0.007123492
