,dim0_KK1,dim0_KK2,dim0_KK3,dim0_KK4,dim0_KK5,,,
EET,0.01496994,0.003455707,0.002452893,0.001324266,0.001232818,0.0000124,0,0
EEV,0.01496994,0.006542633,0.001916541,0.001851581,0.001682339,0.0000339,0,0
EFA,0.01496994,0.000865363,0.000628631,0.00038499,0.000367959,0,0,0
EFG,0.01496994,0.001586895,0.001125793,0.000589978,0.000517136,0.000001,0,0
EFO,0.01496994,0.01496994,0.014001995,0.009761866,0.005474989,0.0000356,0,0
EFU,0.01496994,0.006293812,0.002924995,0.00129696,0.001194259,0.000000353,0,0
EFV,0.01496994,0.00078935,0.000787162,0.000747668,0.000675851,0,0,0
EFZ,0.01496994,0.000713176,0.000596248,0.000373973,0.000300427,4.62E-08,0,0
EGPT,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000666,0,0
EIDO,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.00000182,0,0
EIRL,0.01496994,0.006350819,0.005292944,0.005131312,0.004909177,0.0000344,0,0
EIS,0.01496994,0.010498228,0.009691236,0.007281591,0.007118907,0.000122532,0.00000117,0
EMB,0.01496994,0.004538793,0.004214447,0.001741965,0.001721879,0.00000569,0,0
EMIF,0.01496994,0.003940447,0.003081887,0.002473075,0.002041904,0.0000484,0,0
EMLC,0.01496994,0.003919271,0.002826204,0.001973162,0.001369499,0.0000215,0,0
ENY,0.01496994,0.01496994,0.008632558,0.004532199,0.004087982,0.0000377,0,0
EPI,0.01496994,0.002155599,0.001477888,0.001209822,0.001191685,0.00000013,0,0
EPOL,0.01496994,0.01496994,0.01496994,0.009457117,0.008137906,0.0000275,0.000000393,0
EPP,0.01496994,0.006206897,0.005704927,0.003199018,0.003116644,0.0000139,0.00000177,0
EPS,0.01496994,0.000845701,0.00069737,0.000564256,0.00036779,0.00000914,0.000000331,3.34E-08
EPU,0.01496994,0.01496994,0.013808102,0.011071253,0.008736771,0.000118889,0,0
EPV,0.01496994,0.014068674,0.004444326,0.004053885,0.002727606,0,0,0
EQL,0.01496994,0.000415831,0.000391089,0.000249703,0.00023639,0.000000765,0,0
ERX,0.01496994,0.008934156,0.008502413,0.006724184,0.006360054,0.000000349,0,0
ERY,0.01496994,0.01496994,0.009308812,0.008970184,0.007996535,0.0000512,0,0
FAB,0.01496994,0.000941626,0.000839618,0.00059353,0.000513291,0.00000602,0,0
FAD,0.01496994,0.001016581,0.000974663,0.000774662,0.000744569,0.0000255,0.000000136,0
FAN,0.01496994,0.011877332,0.008865949,0.005506686,0.005032256,0.0000586,0.0000018,0
FAS,0.01496994,0.005166705,0.003902783,0.003016588,0.002834743,0.0000202,1.85E-08,0
FAZ,0.01496994,0.01496994,0.007565867,0.00727458,0.006604417,0.00000889,0.000000288,0
FBT,0.01496994,0.009880344,0.009855418,0.008513972,0.006604383,0.000136137,0.0000186,0.000000196
FCG,0.01496994,0.002127907,0.00191414,0.001512754,0.000959556,0.0000775,0,0
FDD,0.01496994,0.003281616,0.002832281,0.002388304,0.00235457,0.0000169,0.000000542,0
FDL,0.01496994,0.001133585,0.001120201,0.001086229,0.000676542,0.000000698,0,0
FDM,0.01496994,0.001717994,0.001442717,0.001362833,0.001329939,0.00000512,0.000000189,0
FDN,0.01496994,0.003446242,0.002986397,0.002965599,0.002393067,0.0000209,0,0
FEU,0.01496994,0.001225391,0.000738202,0.000718916,0.000611553,0.000000985,0,0
FEX,0.01496994,0.000430179,0.000270378,0.000199646,0.000180317,0.00000142,1.72E-09,0
FEZ,0.01496994,0.002647003,0.002637345,0.002331343,0.001930926,0.0000275,0,0
FFR,0.01496994,0.003041051,0.002154614,0.001605195,0.000888281,0.0000146,0,0
FGD,0.01496994,0.001474395,0.001355698,0.00120128,0.001187608,0.00000323,0,0
FIW,0.01496994,0.002414099,0.001443187,0.001409177,0.001055086,0.0000297,0,0
FLM,0.01496994,0.00211651,0.001936817,0.00187596,0.001754108,0.0000143,0,0
FNI,0.01496994,0.004193359,0.001411873,0.001266979,0.000977847,0.00000924,0.000000575,0
FNX,0.01496994,0.000791213,0.000725691,0.000683075,0.000679734,0.0000509,0.00000193,0
GAF,0.01496994,0.014313541,0.008998118,0.007493133,0.006118671,0.0000197,0,0
GASL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.000145568,0,0
GAZ,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000306,0,0
GBF,0.01496994,0.000307742,0.00018654,0.000152015,0.000140448,0.00000282,2.39E-08,0
GCC,0.01496994,0.000868098,0.000790173,0.000584343,0.000448976,0.00000731,0,0
GCE,0.01496994,0.009842093,0.007053258,0.006175244,0.004836617,0.0000317,0,0
GDX,0.01496994,0.013760444,0.011132902,0.006891267,0.005311133,0.00000347,0,0
GDXJ,0.01496994,0.007898807,0.007156075,0.006816273,0.005957281,0.0000454,6.99E-08,0
GEX,0.01496994,0.004965211,0.003653975,0.003058874,0.002795402,0.00000244,0.000000376,0
GII,0.01496994,0.005730147,0.004033217,0.003923447,0.003535579,0.0000511,0,0
GLD,0.01496994,0.002748283,0.001449414,0.001038828,0.001007394,0.00002,0.00000111,0
GLL,0.01496994,0.010355948,0.005540019,0.004426322,0.004267788,0.0000479,7.95E-08,0
GMF,0.01496994,0.002058429,0.001549873,0.001069235,0.000872273,0.0000191,0.00000128,0
GML,0.01496994,0.001531864,0.001055304,0.000990694,0.000947197,0.000019,0.000000397,0
GMM,0.01496994,0.004256411,0.001543326,0.001167192,0.000443618,0.000000336,7.45E-09,0
GRES,0.01496994,0.003147583,0.002339337,0.001766567,0.00117579,0.00000111,0,0
GRI,0.01496994,0.00459645,0.002449784,0.002045838,0.001625643,0.000000406,0,0
GRID,0.01496994,0.005659133,0.005115088,0.003557908,0.00347063,0.00000178,0,0
GRN,0.01496994,0.003333895,0.003275561,0.00305525,0.002798085,0.000000211,0,0
GRU,0.01496994,0.004906407,0.003298029,0.00277939,0.001964476,0.000163298,0.0000335,0
GSC,0.01496994,0.002594344,0.002316273,0.002057636,0.001800726,0.00000983,0,0
GSG,0.01496994,0.001825966,0.001527673,0.001090486,0.000677918,0.000013,0,0
GSP,0.01496994,0.000536773,0.00050988,0.000497753,0.000490654,0.0000103,4.28E-09,0
GULF,0.01496994,0.011775659,0.00682775,0.006125369,0.006050893,0.000131475,0.0000231,0
GUR,0.01496994,0.008350272,0.005452859,0.003282096,0.003053814,0.00000235,0,0
GVI,0.01496994,0.000184126,0.000136438,0.000135668,0.0001119,0.000000476,2.21E-08,0
GWL,0.01496994,0.000717712,0.000625759,0.000369952,0.000358914,0.000000128,0,0
GWX,0.01496994,0.001610769,0.001475005,0.001405332,0.001139917,0.00000765,0.0000023,0.000000327
GXC,0.01496994,0.003809607,0.00101987,0.00081257,0.000795697,0.00000728,0,0
GXF,0.01496994,0.00308658,0.002932584,0.00271593,0.002638821,0.000023,0.000000551,0
GXG,0.01496994,0.01496994,0.007102938,0.006185543,0.00459786,0.00000155,0,0
HAO,0.01496994,0.012982479,0.005756731,0.004772998,0.003305111,0.00000106,0,0
HAP,0.01496994,0.001556339,0.001199964,0.001148011,0.000875207,0.00000185,0,0
HEDJ,0.01496994,0.013526309,0.004610548,0.003864211,0.00381018,0.0000489,1.07E-08,0
HGI,0.01496994,0.001723479,0.000994514,0.000684214,0.00065894,0.0000169,0.00000125,0
HYG,0.01496994,0.004686725,0.003406286,0.002980058,0.002650266,0.000000128,0,0
IAI,0.01496994,0.003175296,0.002932914,0.002838617,0.002264142,0.00000114,0,0
IAK,0.01496994,0.004362352,0.003936823,0.003828648,0.002332448,0.0000172,0.00000104,0
IAT,0.01496994,0.003810192,0.003269591,0.001830089,0.001438999,0.0000146,0.00000012,0
IAU,0.01496994,0.002848599,0.00166956,0.001029172,0.000963389,0.0000182,0.000000694,0
IBB,0.01496994,0.003558348,0.002124755,0.001696089,0.001249638,0.00000946,0,0
IBND,0.01496994,0.00176866,0.001747704,0.001668648,0.001500002,0.0000169,0,0
ICF,0.01496994,0.001095403,0.000602295,0.000561727,0.000452748,0.0000399,0,0
ICLN,0.01496994,0.006323189,0.004961569,0.004677754,0.004055034,0.000236867,0.0000146,0.000000172
IDHQ,0.01496994,0.00279701,0.002582037,0.002347376,0.001918456,0.0000125,0,0
IDU,0.01496994,0.00470448,0.003028736,0.002392665,0.002165263,0.000146043,0.0000105,0
IDV,0.01496994,0.002168688,0.001615186,0.000960411,0.000812573,0.00000586,0.000000142,0
IDX,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.00000106,0,0
IEF,0.01496994,0.000263791,0.000239284,0.000232114,0.000220323,0.0000064,0.000000193,0.000000111
IEI,0.01496994,0.000221116,0.000212644,0.000126531,0.000124596,0.0000091,0.00000014,0
IEO,0.01496994,0.002234242,0.002087787,0.0017223,0.001411648,0.000000547,0,0
IEV,0.01496994,0.000980506,0.000902761,0.000837906,0.000511278,0.00000579,0,0
IEZ,0.01496994,0.003848039,0.003720981,0.003699395,0.003204952,0.0000486,0.0000151,0.00000237
IFEU,0.01496994,0.008180046,0.006830937,0.00526581,0.005113922,0.0000521,0.00000171,0
IFGL,0.01496994,0.010124809,0.009599202,0.003774386,0.003719627,0.0000154,0,0
IGE,0.01496994,0.000704178,0.000680787,0.000575462,0.00056387,0.00000229,5.94E-08,0
IGF,0.01496994,0.002400147,0.001753333,0.00132062,0.001067711,0.000000602,0,0
IGM,0.01496994,0.000341442,0.000295427,0.000262461,0.000251802,0.00000386,9.99E-08,0
IGN,0.01496994,0.004496818,0.003413895,0.002879773,0.002819961,0.0000264,0,0
IGOV,0.01496994,0.003980293,0.001703974,0.001088901,0.001045213,0.0000165,0,0
IGV,0.01496994,0.008155828,0.002439597,0.002353255,0.002209169,0.00000467,0,0
IHE,0.01496994,0.002396192,0.002058217,0.001467546,0.001354353,0.0000189,0.000000495,0
IHF,0.01496994,0.012031876,0.009274382,0.006786831,0.005329923,0.0000022,0,0
IHI,0.01496994,0.002727511,0.002402127,0.00233448,0.002008219,0.0000489,0,0
IJH,0.01496994,0.00064043,0.000511062,0.000463218,0.000303196,0.00000701,2.84E-08,0
IJJ,0.01496994,0.000957638,0.000595978,0.000389313,0.000376124,0.0000447,0,0
IJK,0.01496994,0.000894926,0.000861514,0.000639667,0.000506657,0.000000434,0,0
IJR,0.01496994,0.000394467,0.000252904,0.000192704,0.000177072,0.000003,2.93E-08,0
IJS,0.01496994,0.000357439,0.000327417,0.000287567,0.000258016,0.00000414,0,0
IJT,0.01496994,0.000514493,0.000490698,0.000445845,0.00041499,0.000000331,0,0
ILF,0.01496994,0.002445412,0.001626085,0.001302839,0.001288893,0.00000315,0,0
ILTB,0.01496994,0.001711714,0.000735895,0.000708015,0.000670789,0.0000149,0,0
INDL,0.01496994,0.004085531,0.003216791,0.002805788,0.00242885,0.0000376,0,0
INDY,0.01496994,0.002596374,0.002431776,0.001323522,0.00130831,0.00000425,0,0
INP,0.01496994,0.003002226,0.001694287,0.001410893,0.001181202,0.0000151,0.00000201,0
IOO,0.01496994,0.000529155,0.000513907,0.000388811,0.000357637,0.00000233,0,0
IPD,0.01496994,0.002625371,0.00257509,0.002528461,0.002385553,0.0000134,0.00000161,0
IPE,0.01496994,0.001847312,0.001337356,0.000956622,0.000815759,0.000000262,0,0
IPF,0.01496994,0.01496994,0.01496994,0.009900699,0.007480513,0.00000515,0,0
IPK,0.01496994,0.003518219,0.002947521,0.002798338,0.00239544,0.0000444,0.000000162,0
IPN,0.01496994,0.004894034,0.00227819,0.001747171,0.001672804,0.000411973,0.00000345,0.000000206
IPS,0.01496994,0.002117582,0.001404673,0.001337942,0.00130799,0.00000778,0,0
IPU,0.01496994,0.003788646,0.00374768,0.003326436,0.003152467,0.00000728,0,0
IPW,0.01496994,0.003347025,0.003189903,0.002786081,0.002539867,0.0000294,0,0
IRV,0.01496994,0.005124313,0.003258659,0.002835534,0.002487407,0.0000065,0,0
IRY,0.01496994,0.011232946,0.004935194,0.004649276,0.004085778,0.0000101,2.66E-08,0
JJA,0.01496994,0.001111689,0.00100544,0.00094163,0.000797692,7.27E-08,0,0
JJC,0.01496994,0.005165328,0.004927762,0.004631806,0.004167823,0.0000172,0,0
JJE,0.01496994,0.011364348,0.005055088,0.003303115,0.003000603,0.0000332,0,0
JJG,0.01496994,0.00415963,0.002565416,0.002203798,0.001945265,0.0000484,0,0
JJM,0.01496994,0.003639101,0.003163508,0.002194433,0.002186412,0.0000466,0.000000051,0
JJN,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000452,0.0000159,0
JJP,0.01496994,0.001669732,0.001652082,0.001294852,0.001293761,0.00000776,0.000000046,0
JJU,0.01496994,0.011672777,0.010139171,0.007672115,0.007399435,0.000188034,0,0
JKD,0.01496994,0.000405215,0.000375646,0.000294919,0.000289569,0.00000168,0,0
JKE,0.01496994,0.000424096,0.000414684,0.000400326,0.000391202,0.00000891,0,0
JKF,0.01496994,0.001160189,0.000977589,0.000799845,0.000649971,0.000000215,0,0
JKG,0.01496994,0.00149275,0.000830666,0.000798633,0.000730477,0.0000193,0.000000465,0
JKH,0.01496994,0.001018918,0.000952696,0.000872232,0.000657929,0.0000186,0.00000627,0.00000269
JKI,0.01496994,0.000765389,0.000512132,0.000438042,0.000404918,0.00000814,0,0
JKJ,0.01496994,0.000683657,0.000668584,0.000385181,0.000252619,0.00000631,0,0
JKK,0.01496994,0.002242611,0.001151146,0.000861983,0.000683384,0.000000712,0,0
JKL,0.01496994,0.000912587,0.000714618,0.00068765,0.000640762,0.000000532,0,0
JNK,0.01496994,0.003273132,0.002323559,0.002081752,0.001774372,0.0000118,0,0
JO,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.000128275,0,0
JXI,0.01496994,0.004106147,0.001951257,0.001318461,0.001279825,0.00000428,0,0
KBE,0.01496994,0.005031983,0.002386238,0.001428435,0.001428068,0.00000265,0,0
KCE,0.01496994,0.001793664,0.001781246,0.001432704,0.001269455,0.0000263,4.61E-09,0
KIE,0.01496994,0.00230406,0.002254233,0.002132464,0.001827514,0.0000896,0.000000702,0
KOL,0.01496994,0.010097885,0.008079599,0.005499683,0.005279689,0.0000678,0,0
KRE,0.01496994,0.002747369,0.002596792,0.002571983,0.001891591,0.0000148,0,0
KROO,0.01496994,0.01496994,0.01496994,0.012367531,0.009462539,0,0,0
KRU,0.01496994,0.01496994,0.013313667,0.013021657,0.009140843,0.0000912,0.0000111,0
KWT,0.01496994,0.006218433,0.005589109,0.005564086,0.005086928,0.00000517,0,0
KXI,0.01496994,0.002079364,0.001236368,0.001063933,0.001012907,0.000000917,0,0
LBJ,0.01496994,0.01496994,0.013787603,0.010424191,0.010292243,0,0,0
LIT,0.01496994,0.009388945,0.009167751,0.006705766,0.005942894,0.00000289,0,0
LQD,0.01496994,0.002086496,0.000656517,0.00065246,0.000592047,0.00000207,0,0
LTPZ,0.01496994,0.004888997,0.00480665,0.003843474,0.003613829,0.0000132,0,0
LVL,0.01496994,0.006173301,0.001768336,0.001652856,0.001487922,0.00000795,0.000000826,0
LWC,0.01496994,0.002414287,0.001191284,0.000970049,0.000798116,0.00000418,2.88E-08,0
